Sample	Dog	Timepoint	Treatment	Date	Gender	Week
MT-A-1	DogA	T1	Recipient	6/10/16	M	0
MT-A-2	DogA	T2	Recipient	20/10/16	M	2
MT-A-3	DogA	T3	Recipient	3/11/16	M	4
MT-A-4	DogA	T4	Recipient	12/1/17	M	14
MT-B-1	DogB	T1	Control	6/10/16	M	0
MT-B-2	DogB	T2	Control	20/10/16	M	2
MT-B-3	DogB	T3	Control	3/11/16	M	4
MT-B-4	DogB	T4	Control	12/1/17	M	14
MT-C-1	DogC	T1	Recipient	7/10/16	M	0
MT-C-2	DogC	T2	Recipient	21/10/16	M	2
MT-C-3	DogC	T3	Recipient	4/11/16	M	4
MT-C-4	DogC	T4	Recipient	12/1/17	M	14
MT-D-1	DogD	T1	Control	7/10/16	M	0
MT-D-2	DogD	T2	Control	21/10/16	M	2
MT-D-3	DogD	T3	Control	4/11/16	M	4
MT-D-4	DogD	T4	Control	12/1/17	M	14
MT-E-I-1	DogE	T1	Donor	7/10/16	F	0
MT-E-II-1	DogE	T1	Donor	1/2/17	F	0
MT-E-III-1	DogE	T1	Donor	9/3/17	F	0
MT-E-IV-1	DogE	T1	Donor	8/6/17	F	0
MT-E-V-1	DogE	T1	Donor	5/9/17	F	0
MT-F-1	DogF	T1	Recipient	1/2/17	M	0
MT-F-2	DogF	T2	Recipient	15/2/17	M	2
MT-F-3	DogF	T3	Recipient	1/3/17	M	4
MT-F-4	DogF	T4	Recipient	10/5/17	M	14
MT-G-1	DogG	T1	Control	1/2/17	M	0
MT-G-2	DogG	T2	Control	15/2/17	M	2
MT-G-3	DogG	T3	Control	1/3/17	M	4
MT-G-4	DogG	T4	Control	10/5/17	M	14
MT-H-1	DogH	T1	Recipient	2/2/17	M	0
MT-H-2	DogH	T2	Recipient	16/2/17	M	2
MT-H-3	DogH	T3	Recipient	3/3/17	M	4
MT-H-4	DogH	T4	Recipient	10/5/17	M	14
MT-I-1	DogI	T1	Control	2/2/17	F	0
MT-I-2	DogI	T2	Control	16/2/17	F	2
MT-I-3	DogI	T3	Control	3/3/17	F	4
MT-I-4	DogI	T4	Control	12/5/17	F	14
MT-J-1	DogJ	T1	Recipient	9/3/17	F	0
MT-J-2	DogJ	T2	Recipient	21/3/17	F	2
MT-J-3	DogJ	T3	Recipient	6/4/17	F	4
MT-J-4	DogJ	T4	Recipient	13/6/17	F	14
MT-K-1	DogK	T1	Control	9/3/17	F	0
MT-K-2	DogK	T2	Control	21/3/17	F	2
MT-K-3	DogK	T3	Control	6/4/17	F	4
MT-K-4	DogK	T4	Control	13/6/17	F	14
MT-L-1	DogL	T1	Recipient	10/3/17	M	0
MT-L-2	DogL	T2	Recipient	24/3/17	M	2
MT-L-3	DogL	T3	Recipient	6/4/17	M	4
MT-L-4	DogL	T4	Recipient	13/6/17	M	14
MT-M-1	DogM	T1	Control	10/3/17	M	0
MT-M-2	DogM	T2	Control	24/3/17	M	2
MT-M-3	DogM	T3	Control	6/4/17	M	4
MT-M-4	DogM	T4	Control	14/6/17	M	14
MT-N-1	DogN	T1	Recipient	8/6/17	F	0
MT-N-2	DogN	T2	Recipient	20/6/17	F	2
MT-N-3	DogN	T3	Recipient	4/7/17	F	4
MT-N-4	DogN	T4	Recipient	14/9/17	F	14
MT-O-1	DogO	T1	Control	8/6/17	F	0
MT-O-2	DogO	T2	Control	20/6/17	F	2
MT-O-3	DogO	T3	Control	4/7/17	F	4
MT-O-4	DogO	T4	Control	14/9/17	F	14
MT-P-1	DogP	T1	Recipient	5/9/17	M	0
MT-P-2	DogP	T2	Recipient	20/9/17	M	2
MT-P-3	DogP	T3	Recipient	4/10/17	M	4
MT-P-4	DogP	T4	Recipient	12/12/17	M	14
MT-Q-1	DogQ	T1	Recipient	5/9/17	M	0
MT-Q-2	DogQ	T2	Recipient	21/9/17	M	2
MT-Q-3	DogQ	T3	Recipient	4/10/17	M	4
MT-Q-4	DogQ	T4	Recipient	13/12/17	M	14
MT-R-1	DogR	T1	Control	6/9/17	M	0
MT-R-2	DogR	T2	Control	20/9/17	M	2
MT-R-3	DogR	T3	Control	4/10/17	M	4
MT-R-4	DogR	T4	Control	13/12/17	M	14
MT-S-1	DogS	T1	Control	6/9/17	M	0
MT-S-2	DogS	T2	Control	21/9/17	M	2
MT-S-3	DogS	T3	Control	4/10/17	M	4
MT-S-4	DogS	T4	Control	12/12/17	M	14
Transplant-A	DogE	T2	Donor	20/10/16	F	2
Transplant-C	DogE	T2	Donor	21/10/16	F	2
Transplant-F	DogE	T2	Donor	15/2/17	F	2
Transplant-H	DogE	T2	Donor	16/2/17	F	2
Transplant-J	DogE	T2	Donor	21/3/17	F	2
Transplant-L	DogE	T2	Donor	24/3/17	F	2
Transplant-N	DogE	T2	Donor	20/6/17	F	2
Transplant-P	DogE	T2	Donor	20/9/17	F	2
Transplant-Q	DogE	T2	Donor	21/9/17	F	2
