"","Genus_Name_Unique","MeanDecreaseGini","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus_Name"
"1","Pasteurella",0.251960478410478,"ASV17","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella",NA,"Pasteurella"
"2","SR1_G.2",0.214283924408924,"ASV128","Bacteria","Absconditabacteria(SR1)","SR1_C-1","SR1_O-1","SR1_F-1","SR1_G-2",NA,"SR1_G-2"
"3","Acholeplasmatales_G.4",0.214160889110889,"ASV323","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmatales","Acholeplasmatales_G-4",NA,"Acholeplasmatales_G-4"
"4","Paludibacter",0.209543817293817,"ASV238","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Paludibacter",NA,"Paludibacter"
"5","Lautropia",0.184035825285825,"ASV117","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA,"Lautropia"
"6","GN02_G.2",0.16636968031968,"ASV74","Bacteria","Gracilibacteria(GN02)","GN02_C-1","GN02_O-1","GN02_F-1","GN02_G-2",NA,"GN02_G-2"
"7","Aquaspirillum",0.150000638250638,"ASV63","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Aquaspirillum",NA,"Aquaspirillum"
"8","Desulfomicrobium",0.141357015207015,"ASV37","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium",NA,"Desulfomicrobium"
"9","Peptostreptococcaceae_XI_G.6",0.140441108891109,"ASV104","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae_XI","Peptostreptococcaceae_XI_G-6",NA,"Peptostreptococcaceae_XI_G-6"
"10","Peptostreptococcaceae_XI_G.5",0.134591941391941,"ASV24","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae_XI","Peptostreptococcaceae_XI_G-5",NA,"Peptostreptococcaceae_XI_G-5"
"11","Chondromyces",0.1314331002331,"ASV667","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces",NA,"Chondromyces"
"12","Neisseria",0.130211638361638,"ASV83","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA,"Neisseria"
"13","Spirochaeta",0.12882099012099,"ASV343","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta",NA,"Spirochaeta"
"14","Campylobacter",0.125226984126984,"ASV9","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA,"Campylobacter"
"15","Xenophilus",0.121482534132534,"ASV64","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus",NA,"Xenophilus"
"16","Peptococcus",0.121313586413586,"ASV54","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus",NA,"Peptococcus"
"17","Pasteurellaceae_G.1",0.120948362748363,"ASV76","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_G-1",NA,"Pasteurellaceae_G-1"
"18","Clostridiales_F.2.G.1",0.109602092352092,"ASV86","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_F-2","Clostridiales_F-2,G-1",NA,"Clostridiales_F-2,G-1"
"19","Streptobacillus",0.109473088023088,"ASV42","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Streptobacillus",NA,"Streptobacillus"
"20","Peptostreptococcaceae_XI_G.4",0.109250632700633,"ASV15","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae_XI","Peptostreptococcaceae_XI_G-4",NA,"Peptostreptococcaceae_XI_G-4"
