"","var1","var2","r","p","p_adj"
"1","PPD_mean","Prevotella",0.342134096882284,0.00232226818473502,0.0497787305103209
"2","BOP_pc","Prevotella",0.371583636280302,0.000876954818797682,0.0320281973503778
"3","plaque_pc","Alloprevotella",-0.343344761008283,0.00223513460718316,0.0497787305103209
"4","BOP_pc","Bacteroidia_G.3",0.351764031802756,0.00170603598908103,0.0461467728355237
"5","PPD_mean","Bacteroidia_G.5",0.38009982968778,0.000650247326381637,0.0273103877080287
"6","BOP_pc","Bergeyella",-0.341079866194787,0.00240061239220424,0.0497787305103209
"7","BOP_pc","Capnocytophaga",-0.408698939679308,0.000224078034864128,0.0235281936607334
"8","plaque_pc","TM7_G.3",0.3604966413356,0.00127909439917984,0.0402914735741648
"9","PPD_mean","WPS.2_G.1",0.340438462076867,0.0024494295965396,0.0497787305103209
"10","PPD_mean","Veillonellaceae_IX_G.1",0.455209359414489,3.18880127674337e-05,0.0100447240217416
"11","BOP_pc","Veillonellaceae_IX_G.1",0.387489404036482,0.00049830114809879,0.0241484402540183
"12","PPD_mean","Erysipelotrichaceae_G.1",-0.355349297021946,0.00151724825458222,0.0434484727448543
"13","BOP_pc","Erysipelotrichaceae_G.1",-0.414818079870431,0.000176154012125451,0.0221954055278069
"14","PPD_mean","Levilinea",0.397321774435235,0.000346305442425976,0.0241484402540183
"15","BOP_pc","Levilinea",0.387876756411465,0.000491313014482131,0.0241484402540183
"16","PPD_mean","Moraxella",-0.42585343595979,0.000112796172429874,0.0177653971577052
"17","BOP_pc","Propionibacterium",-0.370352675570348,0.000915091352867936,0.0320281973503778
"18","PPD_mean","Catonella.2",0.389775622364865,0.000458333529695931,0.0241484402540183
"19","PPD_mean","Clostridiales_IV_G.2",0.349579051444828,0.00183122114426681,0.0461467728355237
"20","BOP_pc","Clostridiales_IV_G.2",0.357723093589316,0.00140284923731171,0.0420854771193513
"21","PPD_mean","Fretibacterium",0.427986311040797,0.000103300131883755,0.0177653971577052
"22","BOP_pc","Fretibacterium",0.365034860715617,0.00109774925752681,0.0363990543285207
"23","PPD_mean","Synergistes",0.385384080098916,0.000537896039975561,0.0242053217989002
"24","BOP_pc","Synergistes",0.393230597022903,0.000403469019002012,0.0241484402540183
"25","BOP_pc","Clostridiales_F.1.G.6",0.374962406240319,0.000779578529439551,0.0306959045966823
"26","BOP_pc","Peptostreptococcaceae_XI_G.5",0.347434312607448,0.00196208221645167,0.0475427613986365
"27","PPD_mean","Peptoniphilus",0.48443290842837,8.03792450243535e-06,0.00506389243653427
"28","BOP_pc","Peptoniphilus",0.34984191476756,0.00181573536173696,0.0461467728355237
"29","PPD_mean","Peptostreptococcaceae_XI_G.9",0.395520707366028,0.000370488130404079,0.0241484402540183
"30","BOP_pc","Peptostreptococcaceae_XI_G.9",0.402429155621967,0.000285378684943494,0.0241484402540183
"31","BOP_pc","Filifactor.1",0.343748711924259,0.00220672146259959,0.0497787305103209
